trip_id,start_time,end_time,headway_secs
-0XeoEQggxpwaPjZ-nJm2-10:00:00,10:00:00,15:00:00,1320
-38V-1462AQjnOZ3KLF_u-10:00:00,10:00:00,15:00:00,1320
-D2_WW54qJOAOUA0HlcHx-10:00:00,10:00:00,15:00:00,360
-K5xbYCncmsJtPgF87FPh-10:00:00,10:00:00,15:00:00,900
-NOS8NtkEQr3MguOx2Xk1-10:00:00,10:00:00,15:00:00,1320
-Qv5s0L9pTwdXzlcBGSMV-10:00:00,10:00:00,15:00:00,300
-UQXjwQF811B-lvfw9buo-10:00:00,10:00:00,15:00:00,180
-XaPZ2UTDjX-eYOqI-vza-10:00:00,10:00:00,15:00:00,1320
-_VpN7mgRZ3gJMkTAlCYj-10:00:00,10:00:00,15:00:00,1320
-eLELChGGvyxgyF-X6jYj-10:00:00,10:00:00,15:00:00,1140
-nIIIT_qpGw61x8Mh1x_w-10:00:00,10:00:00,15:00:00,480
-q8jjwom1iFvWy114rFYc-10:00:00,10:00:00,15:00:00,900
-rLtDuwe-jHpFTH7LttYe-10:00:00,10:00:00,15:00:00,900
-yM2E11heYf6ugOQ5AB8I-10:00:00,10:00:00,15:00:00,900
01ZcX73Vgf4WrcQXQ6ZQj-10:00:00,10:00:00,15:00:00,2700
08ojBRs9Q5XKETiSBt1k6-10:00:00,10:00:00,15:00:00,2700
0B1DaW_i9wMshGIpzWxit-10:00:00,10:00:00,15:00:00,675
0CQ7Vyyu0F25tb_fbXe0P-10:00:00,10:00:00,15:00:00,540
0K7QW8KOkL-9Hqf7aGDeX-10:00:00,10:00:00,15:00:00,1800
0MD41jZ0fALq1U7ATpERn-10:00:00,10:00:00,15:00:00,900
0RdMGJUnmo4j87OKEJbKv-10:00:00,10:00:00,15:00:00,900
0RfTmJg98tv9ff6iEU5jz-10:00:00,10:00:00,15:00:00,1125
0UylJA7JV_Z7UWAX9gj8E-10:00:00,10:00:00,15:00:00,1140
0XH65TTO7WRUIai9uQs54-10:00:00,10:00:00,15:00:00,900
0_YigmbN6W4IoQ5ioOmYR-10:00:00,10:00:00,15:00:00,465
0aCIFc27lpFi-ZB9v0i5p-10:00:00,10:00:00,15:00:00,900
0jXLhzjwqCIz6DOThb9bW-10:00:00,10:00:00,15:00:00,1125
0kBVj_qpOsIrgBHvA34EX-10:00:00,10:00:00,15:00:00,110
0q6B55QFqE7VPO9hLDC0N-10:00:00,10:00:00,15:00:00,150
0uI5Wr3pJc0NdmQU1cqfv-10:00:00,10:00:00,15:00:00,1350
0yopLpAb3pZW2IOBct96R-10:00:00,10:00:00,15:00:00,2025
1-LdWzFVbChn8FY-dPvXs-10:00:00,10:00:00,15:00:00,480
1CVc7raPnIXvjdgIQv2wA-10:00:00,10:00:00,15:00:00,385
1JAWqfuPYO9izvbREVsLR-10:00:00,10:00:00,15:00:00,2025
1Jxp2htELubmmtlyac8dW-10:00:00,10:00:00,15:00:00,2025
1KmmBT_GnN6ycwowtIWi2-10:00:00,10:00:00,15:00:00,1350
1LP9Vk7ezEV1L_xsceq2e-10:00:00,10:00:00,15:00:00,270
1O98xIgi9lUnIlb_m2V-u-10:00:00,10:00:00,15:00:00,240
1RZbZO-ADFtsczgne9xow-10:00:00,10:00:00,15:00:00,180
1a_PppQFM_WxUB1rEXPcN-10:00:00,10:00:00,15:00:00,900
1h5xuYUvFWRQlx_QOZ8yL-10:00:00,10:00:00,15:00:00,2025
1hhl6rLrvlT10bpEwevs2-10:00:00,10:00:00,15:00:00,110
1jADGznxxrt4K2snqmy05-10:00:00,10:00:00,15:00:00,2700
1lif0yYnvYLeSXzzrLvEl-10:00:00,10:00:00,15:00:00,170
1prom-u8OBc3WEzCI8AMa-10:00:00,10:00:00,15:00:00,1320
1qAG7g39ik2OqfT0WZCnm-10:00:00,10:00:00,15:00:00,2700
1tCbcB4StJaSs744BP-B3-10:00:00,10:00:00,15:00:00,1320
1vsBeLtLPgNSSnM5gWycm-10:00:00,10:00:00,15:00:00,1070
21XFqItT8ozHWSVS5-v55-10:00:00,10:00:00,15:00:00,1320
25icSlpda9SQy1Ni48qk_-10:00:00,10:00:00,15:00:00,2025
28pnT_4PS_mR8FzYKXWmR-10:00:00,10:00:00,15:00:00,675
2DDOTu4ngQ7a4DBGEgI0T-10:00:00,10:00:00,15:00:00,340
2ESrUNxmari9t54H8t7Lw-10:00:00,10:00:00,15:00:00,610
2FE2bdXteCUn7b_5KXZJ4-10:00:00,10:00:00,15:00:00,300
2H4tGIYU3faO0axmYnmaO-10:00:00,10:00:00,15:00:00,245
2JJL6fknWMvn_4KD7wU7N-10:00:00,10:00:00,15:00:00,2700
2LPBg8JF7GOnEJqGOrjjG-10:00:00,10:00:00,15:00:00,1800
2Mz8m8AYyMTyawZGij79B-10:00:00,10:00:00,15:00:00,2700
2NVjzzHBIo_-XLsBN4KYh-10:00:00,10:00:00,15:00:00,900
2PeXca8QJ6kY751cc_yVk-10:00:00,10:00:00,15:00:00,2700
2bmBOEvijWTXMFDjfS415-10:00:00,10:00:00,15:00:00,675
2mVMurkCEL_lpYUvnDS0B-10:00:00,10:00:00,15:00:00,1125
2oLBLNHmgDTCcWxV8HM1k-10:00:00,10:00:00,15:00:00,245
35JvLLZYnkWHAvAJj5qD6-10:00:00,10:00:00,15:00:00,2025
3BG0ugeueX0tKvlHUAA5k-10:00:00,10:00:00,15:00:00,170
3F2AsTWibqhxpkTKCzZna-10:00:00,10:00:00,15:00:00,900
3FKb-93AIxiKSHGTPQqn1-10:00:00,10:00:00,15:00:00,1800
3OI3dziHyM5hX409c96le-10:00:00,10:00:00,15:00:00,2700
3WNQfQ6dHtvxSGuvG_JmS-10:00:00,10:00:00,15:00:00,1010
3ZA9yhKgNaHbbYLy2R_Ch-10:00:00,10:00:00,15:00:00,720
3cX2E05Lngf1Zdt5rKkJ2-10:00:00,10:00:00,15:00:00,340
3n_ieHlUgg-uK6HmOIw6O-10:00:00,10:00:00,15:00:00,1560
3omwXBNIXFwmsOp6t0g0f-10:00:00,10:00:00,15:00:00,2700
3r27aoIM6vBSMWGBbmD_6-10:00:00,10:00:00,15:00:00,210
3tXApVGeyyN33i4Fupq4K-10:00:00,10:00:00,15:00:00,900
3tcyQVgc16XYPT4uMGMoQ-10:00:00,10:00:00,15:00:00,1125
3w9sXzlnZy8jK4ohty72l-10:00:00,10:00:00,15:00:00,300
3yvTD4lqn_XxmPtScZ6tC-10:00:00,10:00:00,15:00:00,945
3z3gUc3I9juRxrcHkQfug-10:00:00,10:00:00,15:00:00,195
42SqVS4RO0a3IptK1IyHu-10:00:00,10:00:00,15:00:00,1350
44EE1ZHo5XzvZO74R2H9Y-10:00:00,10:00:00,15:00:00,1350
44HUJqvTyivVY_pA0XF9A-10:00:00,10:00:00,15:00:00,2700
49h4pJT38FRny2vJv82K8-10:00:00,10:00:00,15:00:00,1350
4FcZAbT6YiNCIQLNkKvd3-10:00:00,10:00:00,15:00:00,160
4Jva7dB93sfvFZfma6i4R-10:00:00,10:00:00,15:00:00,110
4NvKeh1iX4BuV9GXj7jQj-10:00:00,10:00:00,15:00:00,450
4XuaA3hKxjdzkZEB8_jZF-10:00:00,10:00:00,15:00:00,385
4egnbQR463tGyxjv8V4KI-10:00:00,10:00:00,15:00:00,1125
4iHyGamh8wtBcRIZsBkpo-10:00:00,10:00:00,15:00:00,1800
4kUUjaQdVfi7L95EEjEST-10:00:00,10:00:00,15:00:00,385
5-etov7E27X0Ygqv6bA25-10:00:00,10:00:00,15:00:00,660
5-uXnV_YMj-7tj-mclLA4-10:00:00,10:00:00,15:00:00,660
50I7g-NeO6UVVAitQBYHK-10:00:00,10:00:00,15:00:00,360
54Ubh3NbYxMMgcUb5cXhC-10:00:00,10:00:00,15:00:00,900
54vCgH7kUj2xjYCmiaGU9-10:00:00,10:00:00,15:00:00,385
5DN5z1DAF7nF8ysc1fcCW-10:00:00,10:00:00,15:00:00,2025
5T4mETzJz8YMVWMoNB7Av-10:00:00,10:00:00,15:00:00,1350
5V0MCmeKu8N6V0UxsE4eL-10:00:00,10:00:00,15:00:00,2700
5Wa445Wmd9tgkdDCVA4mj-10:00:00,10:00:00,15:00:00,675
5XnNiz8iMKA-hl_lUmg92-10:00:00,10:00:00,15:00:00,1800
5amEUAf4ze-KNUOhGFnOu-10:00:00,10:00:00,15:00:00,1320
5ctGy1IaXPQHAc-7fyrFp-10:00:00,10:00:00,15:00:00,240
5e-DlR5b_B2VyWhwrwwZZ-10:00:00,10:00:00,15:00:00,1320
5lAgNo83JBisjYdeAaxD9-10:00:00,10:00:00,15:00:00,290
5z5IS5JS6NvWMLdsqdMkh-10:00:00,10:00:00,15:00:00,140
6-jq-EnpefcYXM12q7YsQ-10:00:00,10:00:00,15:00:00,1320
