route_long_name,route_short_name,agency_id,route_type,route_id
10th District Station (6th of October) - 6th District - 6th of October (Al Souq Al Qadeem),Box,BOX,3,BOX_6O002
10th District Station (6th of October) - Dolce,Box,BOX,3,BOX_6O003
10th District Station (6th of October) - Hossary Station,Tomnaya,P_B_8,3,P_B_8_6O001
10th District Station (6th of October) - Hossary Station,Tomnaya,P_B_8,3,P_B_8_6O008
10th District Station (6th of October) - Laylat Al Qadr Station,Box,BOX,3,BOX_6O004
10th District Station (6th of October) - Magda Square,Tomnaya,P_B_8,3,P_B_8_6O014
10th District Station (Nasr City) - 10th of Ramadan Station,Microbus,P_O_14,3,P_O_14_CA056
10th District Station (Nasr City) - 1st Settlement Station (New Cairo),Microbus,P_O_14,3,P_O_14_IC049
10th District Station (Nasr City) - 7th District Station (Nasr City),Microbus,P_O_14,3,oBfdc8gljJblvRbAa0dmX
10th District Station (Nasr City) - 8th District (Nasr City) - Al tabba,Tomnaya,P_B_8,3,JZOWZGUVIlsyln-SJhGeB
10th District Station (Nasr City) - Al Shabab Entrance,Microbus,P_O_14,3,P_O_14_IC050
10th District Station (Nasr City) - Alf Maskan Station,Microbus,P_O_14,3,OV9c3M2XEp7fizUlcqY26
10th District Station (Nasr City) - Awwel Makram Ebeid,Microbus,P_O_14,3,rIW1na7aSBeUGKSkhuuGI
10th District Station (Nasr City) - Darrasa,CTA 80,CTA,3,CTA_80
10th District Station (Nasr City) - Darrasa,CTA 80s,CTA,3,rkJxL56Q3OKc76Ff6Pg8s
10th District Station (Nasr City) - FUE,Microbus,P_O_14,3,P_O_14_IC041
10th District Station (Nasr City) - Gas (Banks Area),Microbus,P_O_14,3,P_O_14_IC020
10th District Station (Nasr City) - Hadaba Wosta (Moqattam),Microbus,P_O_14,3,TIlnDqafo-e2AVr35QCtj
10th District Station (Nasr City) - Moneeb Station,Microbus,P_O_14,3,Llp_ydR2tscD940jXryQU
10th District Station (Nasr City) - Moneeb Station,Microbus,P_O_14,3,P_O_14_IG027
10th District Station (Nasr City) - New Cairo Academy,Tomnaya,P_B_8,3,P_B_8_IC052
10th District Station (Nasr City) - New Cairo Court Station,Microbus,P_O_14,3,P_O_14_IC051
10th District Station (Nasr City) - New Marg Station,Microbus,P_O_14,3,P_O_14_CA051
10th District Station (Nasr City) - New Marg Station,Microbus,P_O_14,3,qZa_NLYmMwMD_p_1GWu_I
10th District Station (Nasr City) - Ommal Square Station,Microbus,P_O_14,3,P_O_14_IC029
10th District Station (Nasr City) - Qalyoub Exit,Minibus,COOP,3,COOP_IG026
10th District Station (Nasr City) - Ramses Station,Microbus,P_O_14,3,5l1G65qweO5GdBQpfy1EM
10th District Station (Nasr City) - Rehab - Gate 6,Microbus,P_O_14,3,P_O_14_IC048
10th District Station (Nasr City) - Zahraa Madinet Nasr,Microbus,P_O_14,3,P_O_14_CA053
10th of Ramadan City - 10th of Ramadan Station,Microbus,P_O_14,3,4E_NzHWE6SBBt9WiSwera
10th of Ramadan City - Al Shorouq Academy Station,Microbus,P_O_14,3,P_O_14_IC090
10th of Ramadan Station - Abd Al Moneim Riad Station,CTA 323,CTA,3,HRIoKLqyzSuLF2TLVXtja
10th of Ramadan Station - Ahmed Helmy Station,Microbus,P_O_14,3,6Qg43sT3Clqienri3AXm7
10th of Ramadan Station - Al Banhawi,Microbus,P_O_14,3,P_O_14_CA161
10th of Ramadan Station - Al Hamd Square Station,Minibus,COOP,3,COOP_IC088
10th of Ramadan Station - Al Hegaz (Obour Police ),Microbus,P_O_14,3,P_O_14_IC066
10th of Ramadan Station - Al Sawah Square,Microbus,P_O_14,3,WiQa8bXpeSlLhEC1SUwGb
10th of Ramadan Station - Al Sayeda Aisha Station,Microbus,P_O_14,3,2nunj7L0d16GI8GHhNASo
10th of Ramadan Station - Al Shorouq Academy Station,Microbus,P_O_14,3,P_O_14_IC092
10th of Ramadan Station - Al Shorouq Water,Microbus,P_O_14,3,P_O_14_IC078
10th of Ramadan Station - Alf Maskan Station,Microbus,P_O_14,3,0A3pcPjwLEpq7hwveYoyO
10th of Ramadan Station - Alf Maskan Station,Microbus,P_O_14,3,rN_2eW65vTEH6zLEx4HC1
