route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
-6XpwB9WWYaBpVKpKkJAA,Ground_Daily,1st Settlement Station (New Cairo),1,_gyb4P-bdhA2bWbQwlXkk_Shape,_gyb4P-bdhA2bWbQwlXkk-10:00:00
-6XpwB9WWYaBpVKpKkJAA,Ground_Daily,Mazallat Station,0,EM-ECppQ3G2ccKgFkSWTD_Shape,EM-ECppQ3G2ccKgFkSWTD-10:00:00
-VhmbIy80una-3ZcYAtuQ,Ground_Daily,Ard El Lewaa,0,k8Dhm6jURcy623yg3NhAh_Shape,k8Dhm6jURcy623yg3NhAh-10:00:00
-VhmbIy80una-3ZcYAtuQ,Ground_Daily,Barageel St,1,8ye8MRqs-Bmz18Vcxttpj_Shape,8ye8MRqs-Bmz18Vcxttpj-10:00:00
-lI1f278TKfnCnumdD48V,Ground_Daily,Cairo University Metro,1,B8_j9Uh_HlbVrMmbErUD9_Shape,B8_j9Uh_HlbVrMmbErUD9-10:00:00
-lI1f278TKfnCnumdD48V,Ground_Daily,Znen (Awwel Al Eshreen),0,u2kCvkJhyUAQnnu8Sj6SO_Shape,u2kCvkJhyUAQnnu8Sj6SO-10:00:00
-nJDno82fXTeOuqXP8Q3H,Ground_Daily,Ahmed Helmy Station,1,5XnNiz8iMKA-hl_lUmg92_Shape,5XnNiz8iMKA-hl_lUmg92-10:00:00
-nJDno82fXTeOuqXP8Q3H,Ground_Daily,Asmarrat,0,FHbiEDyaXcBlkC2TuwRdA_Shape,FHbiEDyaXcBlkC2TuwRdA-10:00:00
0A3pcPjwLEpq7hwveYoyO,Ground_Daily,10th of Ramadan Station,1,mgHuDNQf43eKuKph9wyQl_Shape,mgHuDNQf43eKuKph9wyQl-10:00:00
0XAvSntelgtvUQzvAfLqW,Ground_Daily,6th District - 6th of October (Al Souq Al Qadeem),1,GHXROZgHgUSD5C_2XIVOV_Shape,GHXROZgHgUSD5C_2XIVOV-10:00:00
0XAvSntelgtvUQzvAfLqW,Ground_Daily,Moassasa Station,0,6OO3Yz8p0IlmViZn-DJ0O_Shape,6OO3Yz8p0IlmViZn-DJ0O-10:00:00
0ij9-cfVgid7IW1oTQKdT,Ground_Daily,Basateen,1,yYSuQjfqt4hPg1Qc5ulVk_Shape,yYSuQjfqt4hPg1Qc5ulVk-10:00:00
0ij9-cfVgid7IW1oTQKdT,Ground_Daily,Mazallat Station,0,0jXLhzjwqCIz6DOThb9bW_Shape,0jXLhzjwqCIz6DOThb9bW-10:00:00
0mQ8cT0ZE81ogwfFKHdrc,Ground_Daily,Al Zawya Al Hamra Station,1,G6XOXoFBJ7xi2VUtpO9Ox_Shape,G6XOXoFBJ7xi2VUtpO9Ox-10:00:00
0mQ8cT0ZE81ogwfFKHdrc,Ground_Daily,Arab Maadi Station,0,nsQXWU6BjZCW1SNH0DaKf_Shape,nsQXWU6BjZCW1SNH0DaKf-10:00:00
0yN0f3emwwLcW287INPnm,Ground_Daily,Dawaran Shubra Station,0,jqUOPwQ04nQ8o-2CiF1bk_Shape,jqUOPwQ04nQ8o-2CiF1bk-10:00:00
0yN0f3emwwLcW287INPnm,Ground_Daily,Masaken Al Shorouq,1,NosOaRbVP_STv2D41mBMn_Shape,NosOaRbVP_STv2D41mBMn-10:00:00
15BSVKWwvsIQTR_rWUxzo,Ground_Daily,Arab Al Tawaila,0,kZoNiOUMltRRIe7TBhLkA_Shape,kZoNiOUMltRRIe7TBhLkA-10:00:00
15BSVKWwvsIQTR_rWUxzo,Ground_Daily,Darrasa,1,S-KfbzAVJK7M-SRte4UPQ_Shape,S-KfbzAVJK7M-SRte4UPQ-10:00:00
189igEKLGNwIUDl8gfOwh,Ground_Daily,Abboud,0,2DDOTu4ngQ7a4DBGEgI0T_Shape,2DDOTu4ngQ7a4DBGEgI0T-10:00:00
189igEKLGNwIUDl8gfOwh,Ground_Daily,New Marg Station,1,ndsVZ0YrJv4lgDGakQj_D_Shape,ndsVZ0YrJv4lgDGakQj_D-10:00:00
1ZbDBsUQUJRub7iZYmHFI,Ground_Daily,Dar El Salam,1,R2g31SYTBfGXA06132fCH_Shape,R2g31SYTBfGXA06132fCH-10:00:00
1ZbDBsUQUJRub7iZYmHFI,Ground_Daily,Fayda Kamel,0,0kBVj_qpOsIrgBHvA34EX_Shape,0kBVj_qpOsIrgBHvA34EX-10:00:00
1hy6BzswcfezL07nZtvGZ,Ground_Daily,Matareya Square Station,0,44EE1ZHo5XzvZO74R2H9Y_Shape,44EE1ZHo5XzvZO74R2H9Y-10:00:00
1mr8RU0a90VsX2pRB9Rfl,Ground_Daily,Abou El Numrus,0,m7T3lM3YGSYQQcZxIwjll_Shape,m7T3lM3YGSYQQcZxIwjll-10:00:00
1mr8RU0a90VsX2pRB9Rfl,Ground_Daily,Moneeb Station,1,tU4dt8xP_IaGNlP3bdLTT_Shape,tU4dt8xP_IaGNlP3bdLTT-10:00:00
21kZwsX6wTR98GRcou2yw,Ground_Daily,Kilo 4 & Half Station,0,arUAc3-tCLjv_qW3u1t-j_Shape,arUAc3-tCLjv_qW3u1t-j-10:00:00
21kZwsX6wTR98GRcou2yw,Ground_Daily,Moassasa Station,1,5T4mETzJz8YMVWMoNB7Av_Shape,5T4mETzJz8YMVWMoNB7Av-10:00:00
